year,title,artist,duration,country,song_id,Danceability,Speechiness,Valence,Duration
1996,Buy Me A   Pony,Spiderbait,1:44,Australia,7yu5ZPvarvXDgHdFRGS9Ke,0.485,0.041,0.974,104173
1997,No   Aphrodisiac,The Whitlams,4:20,Australia,6Lsj7lUt1kcKtVWE02BxBK,0.363,0.0422,0.644,259493
1999,These   Days,Powderfinger,4:15,Australia,75POD9WZXaGavNVyR0LHt4,0.15,0.0343,0.105,298533
1999,Weir,Killing Heidi,4:05,Australia,1umlKmiauqM9GFnk25HwCb,0.327,0.0452,0.672,244867
1999,You Shit Me To Tears,The Tenants,2:32,Australia,7yu5ZPvarvXDgHdFRGS9Ke,0.436,0.0584,0.468,152493
2001,Amazing,Alex Lloyd,3:23,Australia,1nDwGcdtCwB4Ipfli2k57i,0.527,0.0303,0.6,203213
2005,Wish You   Well,Bernard Fanning,2:29,Australia,48xq0DnfAKtsFjK1L7GZx9,0.73,0.0873,0.703,151133
2006,One   Crowded Hour,Augie March,4:16,Australia,5gPL7XvlYmX922oyxscYH4,0.413,0.033,0.365,290267
2006,"Black Fingernails, Red Wine",Eskimo Joe,4:10,Australia,0ujklxrVM2jwpLMgbTwTd1,0.553,0.0424,0.433,249867
2006,The Hard Road,Hilltop Hoods,4:06,Australia,58dBZbrdTDicJK8r3JYx1h,0.767,0.111,0.961,246067
2015,Hoops,The Rubens,2:39,Australia,3Q4DweD43ffeuELklLMKQk,0.731,0.0339,0.802,158973
2016,Adore,Amy Shark,3:05,Australia,1rPCgtaIF0CyKRgAwhtpbF,0.592,0.0391,0.259,185000
